,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,well_id,stadsdeel,buurt_code,well_type,well_neighbourhood,well_address,well_longitude,well_latitude,postal_code
157,157,157,157,8953,M,M56b,Point,56b - Middenmeer Noord,"Galileïplantsoen 89, Amsterdam",4.939973540563188,52.354532559839924,Geen resultaat.
158,158,158,158,8955,M,M56c,Point,56b - Middenmeer Noord,"Galileïplantsoen 109, Amsterdam",4.940996132791043,52.35515794691969,1098LX
159,159,159,159,8957,M,M56b,Point,56b - Middenmeer Noord,"Herschelstraat 1, Amsterdam",4.9375121667844715,52.35396190855851,1098JA
160,160,160,160,8959,M,M56b,Point,56b - Middenmeer Noord,"Mr. P.N. Arntzeniusweg 53, Amsterdam",4.935733862207599,52.35497310302063,1098GL
161,161,161,161,8961,M,M56b,Point,56b - Middenmeer Noord,"Mr. P.N. Arntzeniusweg 51, Amsterdam",4.935711063430973,52.35498948508152,1098GL
162,162,162,162,8963,M,M56b,Point,56b - Middenmeer Noord,"Pythagorasstraat 68, Amsterdam",4.9346616491538935,52.35459180883858,Geen resultaat.
163,163,163,163,8965,M,M56b,Point,56b - Middenmeer Noord,"Pythagorasstraat 68, Amsterdam",4.9346831068260135,52.35457788396192,Geen resultaat.
164,164,164,164,8969,M,M56a,Point,56a - Linnaeusparkbuurt,"Linnaeuskade 54, Amsterdam",4.93519177659664,52.35701897066957,1098BK
165,165,165,165,8971,M,M56c,Point,56b - Middenmeer Noord,"Galileïplantsoen 109, Amsterdam",4.941019378820784,52.35517610349419,1098LX
166,166,166,166,8973,M,M56b,Point,56b - Middenmeer Noord,"Copernicusstraat 47, Amsterdam",4.937714226475691,52.35504914304348,1098JD
167,167,167,167,8977,M,M56a,Point,56a - Linnaeusparkbuurt,"Middenweg 133, Amsterdam",4.934173207723233,52.351576834168704,Geen resultaat.
168,168,168,168,8987,M,M56b,Point,56b - Middenmeer Noord,"Linnaeusparkweg 87, Amsterdam",4.935051295899485,52.353460261784925,Geen resultaat.
169,169,169,169,8989,M,M56a,Point,56a - Linnaeusparkbuurt,"Linnaeuskade 54, Amsterdam",4.935162607573601,52.3570138515113,1098BK
170,170,170,170,8991,M,M56c,Point,56b - Middenmeer Noord,"Galileïplantsoen 109, Amsterdam",4.9410464242100725,52.355185386753426,1098LX
171,171,171,171,8993,M,M56a,Point,56a - Linnaeusparkbuurt,"Linnaeuskade 4, Amsterdam, Nederland",4.9290544999999995,52.355445,Geen resultaat.
172,172,172,172,8995,M,M56a,Point,56a - Linnaeusparkbuurt,"Linnaeusparkweg 22, Amsterdam",4.931955356144045,52.35539930766029,Geen resultaat.
173,173,173,173,8999,M,M56a,Point,56a - Linnaeusparkbuurt,"Middenweg 131, Amsterdam",4.934130962931249,52.35160243310313,1098AK
174,174,174,174,9001,M,M56b,Point,56b - Middenmeer Noord,"Copernicusstraat 45, Amsterdam",4.937692545340723,52.35503535481961,Geen resultaat.
175,175,175,175,9009,M,M56b,Point,56b - Middenmeer Noord,"Galileïplantsoen 41, Amsterdam",4.9387634172489925,52.35394852955654,1098LW
176,176,176,176,9011,M,M56c,Point,56c - Middenmeer Zuid,"Middenweg 253, Amsterdam",4.938425347202156,52.34907851163511,1098AR
